%sys,ceph01,ceph02,ceph03,ceph04
0,23.51,23.59,23.6,23.1
1,24.99,24.66,25.1,24.65
2,23.37,22.66,23.34,23.3
3,24.01,24.22,23.24,24.38
4,24.21,24.52,23.55,24.03
5,24.42,22.62,23.93,22.74
6,23.24,23.33,24.01,23.43
7,23.55,23.77,23.73,23.69
8,23.01,22.09,23.5,22.65
9,20.9,20.77,22.49,23.15
10,20.96,22.83,20.85,20.21
11,24.96,20.91,21.55,20.98
12,23.92,24.33,24.28,24.29
13,23.95,24.5,24.52,24.07
14,23.27,23.35,23.9,23.06
15,23.66,23.0,23.22,23.97
16,21.32,25.14,22.63,23.29
17,23.22,22.57,23.3,22.72
18,23.82,21.43,22.06,21.54
19,24.12,23.63,23.75,24.39
20,23.35,23.64,23.59,23.01
21,20.4,19.42,22.14,22.84
22,20.74,22.94,20.82,21.97
23,18.18,19.1,17.75,16.91
24,24.78,22.2,23.22,22.8
25,20.73,21.89,21.57,21.45
26,23.17,22.3,22.35,22.77
27,24.51,24.53,24.49,23.56
28,23.36,22.61,23.4,24.16
29,22.42,24.3,24.18,23.34
30,25.46,22.61,22.54,23.8
31,22.25,22.65,21.73,22.67
32,23.6,23.63,23.98,24.14
33,23.36,23.06,23.41,22.02
34,21.02,20.48,22.1,22.48
35,21.89,25.15,23.08,23.39
36,23.09,23.76,23.19,23.32
37,23.98,21.18,20.92,21.46
38,20.68,20.35,20.59,20.13
39,22.93,22.35,23.33,21.68
40,23.9,23.84,23.78,23.45
41,23.36,24.3,23.28,24.88
42,21.51,23.69,23.16,22.43
43,22.18,19.42,19.68,20.54
44,24.2,23.92,23.62,24.6
45,24.03,24.17,24.84,24.03
46,23.99,23.63,24.98,23.12
47,23.6,23.16,23.03,24.81
48,20.99,24.27,24.28,23.55
49,27.23,24.52,23.87,23.31
50,23.62,22.99,23.13,23.69
51,22.86,23.03,23.96,23.12
52,20.47,20.71,22.48,20.15
53,21.1,19.95,20.9,22.56
54,20.79,23.37,21.06,20.98
55,19.4,17.97,15.94,16.72
56,23.56,22.85,23.99,23.4
57,24.06,23.72,23.4,23.86
58,24.24,24.52,24.63,23.64
59,23.63,23.59,22.83,23.03
60,20.78,22.13,23.54,22.36
61,22.45,22.91,21.18,22.0
62,24.52,23.33,24.68,23.4
63,23.88,24.3,24.26,24.37
64,23.4,23.53,24.06,22.87
65,23.78,23.86,23.67,23.12
66,23.08,22.92,23.72,25.2
67,19.68,22.04,20.94,20.18
68,23.02,20.99,21.39,20.69
69,23.64,23.18,23.35,24.4
70,20.99,22.29,21.85,22.01
71,23.25,23.78,23.94,22.31
72,15.15,16.61,16.2,17.75
73,15.05,14.35,12.67,13.41
74,12.62,13.2,11.95,10.99
75,19.42,19.45,20.08,21.64
76,11.92,11.66,11.66,11.17
77,16.96,16.98,18.75,17.8
78,19.47,19.19,19.96,21.49
79,25.07,22.65,23.73,23.21
80,15.84,16.54,14.53,13.99
81,23.58,24.01,24.49,24.87
82,23.92,24.54,23.42,23.39
83,21.2,22.06,23.92,22.72
84,17.44,17.51,19.46,20.39
85,23.02,22.07,22.78,22.46
86,23.12,23.9,21.44,21.3
87,23.49,23.26,23.99,23.64
88,23.89,24.27,23.77,23.63
89,19.91,20.65,20.23,20.31
90,23.04,22.75,23.56,23.71
91,23.02,22.04,23.44,23.35
92,23.49,25.41,24.05,23.38
93,23.95,22.89,23.61,23.36
94,23.51,24.41,21.93,22.56
95,19.97,21.59,22.14,20.54
96,19.67,19.48,21.18,20.75
97,24.97,23.03,23.53,23.84
98,22.58,22.81,23.17,23.08
99,24.36,23.94,23.81,23.01
100,23.86,24.27,23.34,24.61
101,22.47,23.62,22.17,22.43
102,19.71,19.54,20.91,19.65
103,24.76,24.15,24.38,24.86
104,23.74,23.89,23.91,23.94
105,25.17,24.57,23.07,23.69
106,23.45,23.75,24.27,23.47
107,22.04,22.46,21.48,22.69
108,23.8,23.06,23.33,23.23
109,21.81,22.5,23.77,23.63
110,23.05,21.64,22.87,22.82
111,22.94,23.2,20.51,21.76
112,19.24,19.86,18.85,17.99
113,20.17,21.39,21.02,23.0
114,22.93,22.51,22.94,23.15
115,22.29,23.41,24.13,23.46
116,22.75,21.04,23.01,22.36
117,21.17,20.81,19.12,19.27
118,21.17,22.1,21.03,20.14
119,19.97,19.71,20.23,21.98
120,24.51,24.09,23.92,23.93
121,23.95,23.57,23.63,23.06
122,21.84,22.37,23.65,23.38
123,21.9,20.13,20.62,19.68
124,21.95,21.74,21.36,21.25
125,21.11,22.22,21.87,24.07
126,22.76,22.91,22.67,23.46
127,23.49,23.87,24.02,23.81
128,21.33,23.17,23.79,22.81
129,23.94,23.46,23.43,22.97
130,24.45,21.78,22.22,22.74
131,22.27,23.52,22.35,21.41
132,23.94,23.82,23.61,24.85
133,23.95,23.47,24.05,23.94
134,23.38,23.37,23.25,23.17
135,21.75,22.63,23.33,23.73
136,21.89,20.01,19.63,20.17
137,17.11,17.69,17.1,16.01
138,23.83,24.53,24.06,25.42
139,24.03,23.94,23.96,23.68
140,23.38,24.28,24.17,23.0
141,22.64,23.36,23.31,24.5
142,22.41,20.35,22.29,20.63
143,24.38,24.6,23.74,23.78
144,21.54,21.5,20.9,22.64
145,22.81,22.88,22.6,24.02
146,19.89,21.91,22.06,20.9
147,17.05,16.34,17.96,18.41
148,22.87,19.76,19.69,19.36
149,24.47,24.61,24.38,24.27
150,23.82,23.54,24.58,23.44
151,22.38,23.59,22.23,23.99
152,20.93,21.4,20.92,21.76
153,19.27,19.77,22.65,20.31
154,25.41,22.75,22.62,22.58
155,24.98,24.53,24.45,24.25
156,24.39,23.87,23.76,23.34
157,23.84,23.95,23.55,24.52
158,24.39,23.43,23.79,23.94
159,23.69,24.2,24.09,23.75
160,21.18,21.53,22.94,22.84
161,25.19,24.99,24.93,24.25
162,23.31,24.21,23.91,23.86
163,22.62,23.96,22.61,23.3
164,23.16,23.37,22.76,24.46
165,22.47,23.19,23.59,22.93
166,21.65,23.86,24.41,24.24
167,23.61,20.6,22.69,22.86
168,23.37,23.86,23.56,23.65
169,21.04,23.79,19.11,21.37
170,19.79,20.51,19.8,23.47
171,21.58,21.82,22.3,20.5
172,18.78,19.2,21.99,20.57
173,20.51,19.51,19.93,20.13
174,24.84,24.45,23.76,24.0
175,24.05,23.81,23.53,23.11
176,20.05,21.69,18.16,22.14
177,22.33,23.51,23.09,22.25
178,20.06,20.89,23.39,19.85
179,22.14,20.66,22.0,22.52
180,23.66,23.49,21.77,22.11
181,20.14,21.23,18.83,18.97
182,21.42,21.61,20.89,23.31
183,23.24,22.43,22.46,24.32
184,22.52,23.24,24.95,23.4
185,21.53,20.8,23.98,22.75
186,23.68,22.67,20.5,20.09
187,23.63,24.62,22.8,23.3
188,22.88,23.91,22.52,23.66
189,24.19,24.59,23.18,24.04
190,22.67,23.61,24.07,23.28
191,22.15,23.54,24.79,23.84
192,21.19,20.68,21.33,21.15
193,25.28,25.1,23.61,24.85
194,23.77,23.85,23.46,23.92
195,24.07,24.02,23.52,25.05
196,23.86,24.15,24.02,23.76
197,21.91,23.08,24.46,21.91
198,23.22,24.78,22.91,23.31
199,24.02,23.29,21.94,23.47
200,23.5,23.72,23.35,23.38
201,24.16,24.38,24.21,25.51
202,23.8,23.88,21.98,23.56
203,22.43,24.0,25.59,21.84
204,22.14,22.65,24.02,24.05
205,22.16,21.53,20.35,21.82
206,24.83,25.13,24.37,24.22
207,23.99,24.12,23.84,23.14
208,22.93,24.89,21.96,24.76
209,19.46,23.41,21.03,20.22
210,20.8,21.36,23.55,20.96
211,23.03,22.68,22.13,22.23
212,24.61,24.96,23.81,23.58
213,24.28,24.75,24.29,24.17
214,24.02,23.63,24.03,24.25
215,23.41,23.34,22.13,22.69
216,21.77,22.16,25.57,21.86
217,23.28,23.97,23.74,23.83
218,22.71,22.15,22.12,22.49
219,24.46,24.81,24.11,24.26
220,23.57,23.96,22.96,23.03
221,20.72,21.47,19.36,22.55
222,19.91,20.25,20.47,19.99
223,21.44,21.8,22.54,21.1
224,23.76,22.67,23.3,23.74
225,23.9,24.36,23.76,24.22
226,24.15,24.37,22.69,22.28
227,21.79,22.05,20.59,24.33
228,21.07,20.2,21.68,21.94
229,20.26,20.91,22.38,19.71
230,25.02,23.92,24.29,24.96
231,24.95,24.44,23.61,24.06
232,23.33,23.88,21.24,22.67
233,22.88,22.97,21.21,23.77
234,24.1,23.71,24.26,23.94
235,21.63,22.16,24.15,22.69
236,20.23,20.86,21.88,21.0
237,25.4,23.83,23.32,24.32
238,20.55,22.55,18.26,21.9
239,24.04,23.59,23.75,23.64
240,23.67,23.36,23.28,24.0
241,21.92,22.49,23.77,22.32
242,21.83,23.56,23.74,21.77
243,23.1,23.4,22.87,23.82
244,17.15,18.67,15.94,18.23
245,23.05,22.66,22.48,22.28
246,23.66,24.29,23.89,24.45
247,23.82,23.56,23.71,23.37
248,23.28,23.09,24.7,23.05
249,22.25,22.43,22.22,23.66
250,16.44,19.46,15.69,17.9
251,24.54,24.02,23.55,23.74
252,23.81,23.56,22.41,24.21
253,23.88,23.68,24.89,24.7
254,23.21,22.96,23.94,22.56
255,18.45,19.46,20.43,21.4
256,17.39,19.94,16.6,17.82
257,21.89,20.7,19.65,19.98
258,14.37,15.26,14.37,14.86
259,12.72,12.42,13.14,12.17
260,19.18,18.96,20.16,19.38
261,17.26,18.07,17.86,18.74
262,16.4,17.54,15.46,16.69
263,15.33,15.07,14.9,14.67
264,19.17,19.07,19.4,19.07
265,20.17,19.13,20.24,19.4
266,15.22,15.08,17.43,16.34
267,22.62,23.37,23.0,23.79
268,20.55,19.57,18.62,20.36
269,22.34,21.36,21.62,20.34
270,19.41,19.35,19.31,20.49
271,21.34,21.2,21.99,21.79
272,17.09,16.9,19.34,18.94
273,22.28,22.73,22.49,21.24
274,20.57,19.41,18.66,19.68
275,17.68,18.01,17.55,18.26
276,21.9,21.12,22.08,21.95
277,17.69,17.79,18.86,18.99
278,19.18,18.79,19.91,19.55
279,24.44,23.35,23.24,23.55
280,17.8,17.53,17.73,17.24
281,19.42,19.6,18.67,19.61
282,21.95,21.11,22.21,21.72
283,16.2,16.25,17.71,18.4
284,22.38,23.46,21.46,21.69
285,24.53,23.59,24.37,23.86
286,23.42,23.21,23.35,24.01
287,23.36,23.16,22.72,23.07
288,18.88,18.08,20.6,19.5
289,20.34,20.46,20.77,21.41
290,23.82,23.46,21.75,22.53
291,23.3,23.08,22.96,22.78
292,23.11,22.08,22.92,23.29
293,25.04,24.19,24.12,23.97
294,22.55,23.36,24.22,23.97
295,17.38,18.66,19.18,20.17
296,24.88,24.41,23.66,24.2
297,23.22,23.28,24.45,23.83
298,21.51,20.53,20.41,20.61
299,25.15,24.09,24.0,24.85
300,20.75,21.31,21.89,20.69
301,22.09,23.49,24.06,23.88
302,23.69,23.4,24.22,24.03
303,21.98,23.37,23.46,22.96
304,20.89,20.16,19.49,19.86
305,24.82,24.12,24.35,24.83
306,23.11,23.13,23.48,21.98
307,18.5,19.79,18.73,20.78
308,24.15,23.51,24.1,24.21
309,21.26,22.32,20.96,22.19
310,20.64,19.74,20.36,18.7
311,21.94,22.13,23.34,22.62
312,23.11,22.72,23.86,22.62
313,18.83,21.01,19.23,19.75
314,23.97,23.31,23.75,23.57
315,18.24,19.03,18.56,19.75
316,24.82,22.92,24.5,23.49
317,23.11,22.16,22.4,21.76
318,22.47,23.26,22.99,22.7
319,24.46,23.96,23.6,23.15
320,23.43,24.7,23.95,24.88
321,19.33,21.01,20.71,22.79
322,24.08,22.35,24.18,22.73
323,21.28,21.28,21.58,20.87
324,23.46,22.98,23.31,22.94
325,23.82,24.19,23.28,22.41
326,23.97,24.34,23.33,23.92
327,24.39,23.91,24.99,24.6
328,23.1,22.62,24.18,23.38
329,19.27,23.05,21.27,22.32
330,24.93,24.01,23.54,23.67
331,24.22,24.81,24.9,23.75
332,23.31,23.41,23.27,23.23
333,23.27,24.8,23.59,24.39
334,20.54,20.59,22.15,22.28
335,22.86,24.72,23.53,23.97
336,24.59,23.2,23.74,24.18
337,23.72,23.72,23.51,23.77
338,19.63,20.55,18.91,17.83
339,22.41,22.2,24.11,24.46
340,19.25,18.4,20.16,21.55
341,23.92,23.29,23.61,23.57
342,23.06,23.84,22.26,22.63
343,24.65,24.69,24.32,23.76
344,17.57,29.79,18.31,15.61
345,19.84,21.77,20.39,21.89
346,22.66,23.25,23.81,25.02
347,23.6,22.58,22.85,23.93
348,22.89,24.05,23.42,23.43
349,24.42,22.5,22.55,21.99
350,22.93,24.88,23.86,22.92
351,20.26,20.72,21.11,23.32
352,22.71,22.42,23.04,23.42
353,22.02,21.36,23.04,23.64
354,22.46,24.56,22.56,22.36
355,23.96,21.0,21.16,21.72
356,21.6,22.89,22.4,20.47
357,19.0,20.39,21.54,19.78
358,23.82,23.66,23.64,25.78
359,20.86,22.76,22.75,23.89
360,23.52,22.2,22.38,23.86
361,23.4,22.21,21.57,21.21
362,23.93,23.6,23.36,22.66
363,19.24,21.84,21.41,20.03
364,23.77,23.78,24.29,25.99
365,24.19,23.93,24.78,25.89
366,24.6,22.4,23.06,22.87
367,21.18,22.84,21.7,22.82
368,23.12,21.53,22.38,23.5
369,22.9,23.97,23.68,24.35
370,21.04,20.9,21.09,21.24
371,24.57,23.97,24.41,24.75
372,23.41,23.53,23.19,23.17
373,20.34,22.29,21.37,22.3
374,22.27,22.16,21.8,23.12
375,22.69,22.22,22.57,22.7
376,23.51,23.79,24.46,22.92
377,23.51,23.67,23.42,23.57
378,23.45,23.56,23.61,24.94
379,22.56,23.09,23.4,23.27
380,20.18,18.39,19.19,21.12
381,24.19,24.26,24.33,24.49
382,23.72,24.35,23.84,23.11
383,24.1,23.51,23.57,24.74
384,20.53,23.69,22.84,23.73
385,17.43,19.47,18.21,18.74
386,21.4,22.06,21.18,21.15
387,24.57,22.94,23.79,23.61
388,24.99,24.96,24.7,23.7
389,23.74,24.0,23.44,24.21
390,23.19,23.73,24.02,23.76
391,23.91,23.02,24.17,23.93
392,21.87,22.41,22.45,22.65
393,25.1,23.78,24.36,23.85
394,24.36,25.1,23.95,23.73
395,23.05,24.2,22.96,23.66
396,18.56,22.26,21.46,20.92
397,24.85,23.16,24.1,25.35
398,22.03,23.22,22.62,22.98
399,23.69,22.79,22.41,22.44