kbcommit,ceph01,ceph02,ceph03,ceph04
0,91252100.0,115352512.0,91541180.0,115849492.0
1,91264288.0,115366976.0,91417964.0,115612708.0
2,91269316.0,115370424.0,91450784.0,115614172.0
3,91301784.0,115422508.0,91450540.0,115629520.0
4,91490392.0,115932144.0,91702456.0,115948008.0
5,91851904.0,115626824.0,91463276.0,115829728.0
6,92198984.0,116708924.0,91512272.0,116738096.0
7,91856844.0,115874772.0,91533576.0,116224976.0
8,91432840.0,115552848.0,91834412.0,115798940.0
9,91454340.0,115558244.0,91586620.0,115775820.0
10,91637360.0,115805428.0,91757288.0,115996536.0
11,91517856.0,115603856.0,91614612.0,115777104.0
12,91549944.0,115602520.0,92726920.0,115810300.0
13,91852288.0,115965416.0,92736232.0,116018288.0
14,91607572.0,115717076.0,92588008.0,115876572.0
15,91609272.0,115718252.0,91870124.0,115875068.0
16,91608488.0,116000668.0,91871436.0,116143164.0
17,91824376.0,115765812.0,91840688.0,115891352.0
18,91682980.0,115781516.0,92006000.0,115892616.0
19,91703040.0,116135660.0,91852328.0,115907696.0
20,91988708.0,116084024.0,91902092.0,116176916.0
21,91753264.0,116008880.0,92186384.0,115990976.0
22,92162384.0,116494752.0,91951328.0,116259212.0
23,92547036.0,117133464.0,91951272.0,116964492.0
24,92446976.0,117321952.0,91966840.0,117124040.0
25,92942976.0,117196188.0,92217236.0,117137116.0
26,92132740.0,116237404.0,91967444.0,116329248.0
27,91920288.0,116024148.0,92228624.0,116094068.0
28,91999260.0,116062468.0,92067848.0,116126284.0
29,92002124.0,116350508.0,92130000.0,116175132.0
30,92295968.0,116110388.0,92160176.0,116443748.0
31,92044128.0,116144708.0,92409840.0,116191924.0
32,92052400.0,116395716.0,92180880.0,116206360.0
33,92120276.0,116193664.0,92184920.0,116208040.0
34,92129632.0,116209904.0,92201380.0,116209068.0
35,92192928.0,116242708.0,92489676.0,116249628.0
36,92414188.0,116247424.0,93107120.0,116284056.0
37,92271328.0,116296680.0,92676068.0,116319032.0
38,92271856.0,116295496.0,92369364.0,116334652.0
39,92761916.0,116750736.0,92578468.0,116589712.0
40,92285300.0,116380968.0,92400540.0,116711632.0
41,92971080.0,116951512.0,92417052.0,116596168.0
42,93168392.0,117150092.0,92441488.0,116920844.0
43,93091028.0,117660548.0,92616472.0,117240196.0
44,92677856.0,116608848.0,92544908.0,116505488.0
45,92553688.0,116675448.0,92958092.0,116575768.0
46,92942208.0,117019292.0,92900648.0,116859288.0
47,92692552.0,116815268.0,93160344.0,116741088.0
48,92694672.0,116881020.0,92958820.0,116949068.0
49,92977988.0,117149420.0,92958160.0,116756356.0
50,92760164.0,116930340.0,92991952.0,116773860.0
51,92808896.0,116946160.0,93274004.0,116803744.0
52,92982864.0,117122824.0,93041248.0,117022152.0
53,92825600.0,116978644.0,93074136.0,116854260.0
54,92827344.0,116996916.0,93308740.0,116871820.0
55,92825704.0,117245916.0,94195432.0,116870588.0
56,92831340.0,117012300.0,93456888.0,117046988.0
57,92879192.0,117048828.0,93695780.0,117046404.0
58,92919416.0,117336864.0,93183776.0,116957696.0
59,93618408.0,117443888.0,93174396.0,118433180.0
60,93804120.0,117334436.0,93398576.0,117700972.0
61,93024580.0,117176800.0,93223580.0,117081048.0
62,92989316.0,117156316.0,93239432.0,117059948.0
63,93080236.0,117183804.0,93520952.0,117087704.0
64,93381236.0,117509492.0,93305836.0,117107404.0
65,93143572.0,117271212.0,93545016.0,117134968.0
66,93194196.0,117287296.0,93349692.0,117188092.0
67,93444808.0,117554556.0,93385036.0,117204284.0
68,93228808.0,117339008.0,93416948.0,117394132.0
69,93239564.0,117364852.0,93611896.0,117252472.0
70,93435748.0,117415364.0,93436140.0,117276540.0
71,93309904.0,117445512.0,93435280.0,117269948.0
72,93355852.0,117488600.0,93482660.0,117322560.0
73,93588364.0,117780000.0,93853580.0,117534040.0
74,93484268.0,117571416.0,93577020.0,117432860.0
75,93535276.0,117598628.0,93622984.0,117440892.0
76,93812324.0,117611004.0,93900912.0,117494320.0
77,93577840.0,117627412.0,93970756.0,117531148.0
78,93917744.0,118446924.0,94542920.0,117710548.0
79,94057124.0,118290608.0,94861640.0,117882896.0
80,94535100.0,117828736.0,93822304.0,117581152.0
81,94105736.0,117939492.0,94060016.0,118720120.0
82,93616972.0,117725888.0,93789844.0,117995072.0
83,93836248.0,117691004.0,93792912.0,117673728.0
84,93576840.0,117668724.0,93809972.0,117858628.0
85,93578268.0,117919552.0,94060348.0,117645100.0
86,93829016.0,117667248.0,93811116.0,117645752.0
87,93576560.0,117666548.0,93809328.0,117879476.0
88,93577388.0,117667348.0,93809512.0,117645436.0
89,93577052.0,117843528.0,93967316.0,117645600.0
90,93811876.0,117668608.0,93807796.0,117880560.0
91,93577112.0,117920516.0,93809216.0,117646104.0
92,93588556.0,117673476.0,93816856.0,117650412.0
93,93828048.0,117669040.0,93810140.0,117897688.0
94,93577296.0,117667468.0,93810556.0,117645728.0
95,93748772.0,117827000.0,94605576.0,117646720.0
96,93582660.0,117669012.0,93811108.0,117881704.0
97,94160380.0,117668172.0,93810584.0,117646352.0
98,94246568.0,118314156.0,94936320.0,118450016.0
99,93632324.0,118430124.0,94319924.0,118721276.0
100,93839736.0,117741004.0,94105272.0,118012864.0
101,93578768.0,117706640.0,93837052.0,117701436.0
102,93579648.0,117673276.0,93811580.0,117656984.0
103,93814680.0,117842728.0,94045052.0,117804316.0
104,93579756.0,117667896.0,93809312.0,117644672.0
105,93578264.0,117666692.0,93808340.0,117645008.0
106,93830180.0,117919808.0,94061612.0,117645840.0
107,93579084.0,117668928.0,93810760.0,117650372.0
108,93580216.0,117667976.0,93809008.0,117645516.0
109,93813936.0,117671872.0,93968352.0,117645428.0
110,93581060.0,117668688.0,93809340.0,117904808.0
111,93577840.0,117667052.0,93808532.0,117644936.0
112,93831036.0,117826152.0,94045032.0,117645752.0
113,93579612.0,117667348.0,93811272.0,117646352.0
114,93578936.0,117667044.0,93810608.0,117804112.0
115,93579504.0,117668792.0,94059972.0,117646788.0
116,93596196.0,117825396.0,93810464.0,117645768.0
117,94400640.0,118780904.0,93810072.0,117652372.0
118,93593640.0,117668928.0,93812568.0,117645660.0
119,94410308.0,118631480.0,94380068.0,118123624.0
120,94270604.0,118211108.0,94607876.0,118691828.0
121,94127544.0,117694884.0,94925856.0,118443696.0
122,93632540.0,117668332.0,94487316.0,118465596.0
123,93615708.0,117920176.0,94274748.0,117705184.0
124,93600708.0,117667660.0,93869840.0,117948464.0
125,93592228.0,117666828.0,93849928.0,117674568.0
126,93592564.0,117919308.0,93813764.0,117646500.0
127,93844632.0,117667344.0,93813848.0,117644444.0
128,93593396.0,117668936.0,93809644.0,117653536.0
129,93591988.0,117919464.0,94001908.0,117643860.0
130,93592156.0,117669472.0,93810904.0,117644560.0
131,93594788.0,117666716.0,93809388.0,117837408.0
132,93592080.0,117842200.0,93809508.0,117645680.0
133,93842988.0,117667716.0,93809936.0,117645720.0
134,93593972.0,117668644.0,93809728.0,117646740.0
135,93912604.0,118734204.0,93811052.0,117650968.0
136,93594048.0,118498552.0,94061904.0,117646080.0
137,94004428.0,117725508.0,93810312.0,117646936.0
138,94389500.0,117699392.0,93811492.0,117650124.0
139,94569036.0,117919048.0,93809960.0,118602548.0
140,94518448.0,117666968.0,93812428.0,118611948.0
141,93637924.0,117667616.0,93810260.0,118274400.0
142,93599240.0,117826556.0,93809040.0,117684396.0
143,93592888.0,117667304.0,93813304.0,117660320.0
144,93605144.0,117924536.0,94290756.0,117897420.0
145,93593360.0,117668752.0,93809464.0,117646476.0
146,93593640.0,117668636.0,93815452.0,117644392.0
147,93767932.0,117668232.0,94794052.0,117803872.0
148,93592180.0,117920020.0,93852952.0,117644280.0
149,93843436.0,117667440.0,93821184.0,117645844.0
150,93592676.0,117666468.0,93811312.0,117653888.0
151,93592600.0,117920636.0,93810212.0,117646200.0
152,93593012.0,117668156.0,93810024.0,117645536.0
153,93768552.0,117668376.0,93810684.0,117804500.0
154,93592432.0,118888700.0,93811364.0,117647172.0
155,93591368.0,118037120.0,93811016.0,117645248.0
156,93591748.0,117730456.0,93808964.0,117896264.0
157,93909232.0,117962072.0,94062400.0,117645504.0
158,93591492.0,117679388.0,93811212.0,117645708.0
159,93591928.0,117666320.0,93810140.0,117652208.0
160,93828260.0,117668740.0,93810136.0,117645168.0
161,93592668.0,117843696.0,94061732.0,117643848.0
162,94322684.0,117682876.0,93969380.0,118215568.0
163,94252724.0,117679256.0,94606328.0,118602760.0
164,93961792.0,117914784.0,94186332.0,118307024.0
165,93637696.0,117680324.0,93855824.0,117679844.0
166,93862852.0,117695584.0,93837732.0,117646604.0
167,93608404.0,117930476.0,94043692.0,117647280.0
168,93608296.0,117712120.0,93809680.0,117644636.0
169,93608088.0,117712936.0,93810508.0,117645932.0
170,93861312.0,117713204.0,93810612.0,117880132.0
171,93608828.0,117871592.0,94062980.0,117644252.0
172,93607552.0,118191328.0,93808220.0,117839512.0
173,93810348.0,117979536.0,93810660.0,117645880.0
174,93608688.0,118399928.0,93826724.0,117660808.0
175,93651120.0,118899460.0,93985328.0,117666208.0
176,93641148.0,119103464.0,93827288.0,117854112.0
177,93650484.0,118073680.0,94077620.0,117677920.0
178,93643432.0,117851332.0,93826968.0,117678000.0
179,93657396.0,117826068.0,93825904.0,117677964.0
180,93658052.0,117827968.0,93826572.0,117837560.0
181,93686632.0,118094620.0,94076668.0,117709944.0
182,94157768.0,117885008.0,93847104.0,118353556.0
183,94525968.0,117904840.0,93851372.0,118717500.0
184,94878476.0,117953568.0,93900104.0,117997332.0
185,94366564.0,118129240.0,94618128.0,118051500.0
186,93853948.0,117954156.0,94716876.0,117789528.0
187,93821184.0,117966700.0,94599732.0,117777360.0
188,93801212.0,117990764.0,93967740.0,118041640.0
189,93830752.0,118050996.0,94004436.0,117880276.0
190,93868648.0,118121380.0,94314720.0,117927792.0
191,94200412.0,118302428.0,94113020.0,118195944.0
192,93979232.0,118177572.0,94129760.0,118010968.0
193,94027452.0,118204252.0,94177940.0,118018276.0
194,94057856.0,119197792.0,94370064.0,118066072.0
195,94142316.0,119338892.0,94272580.0,118186248.0
196,94183780.0,119043368.0,94341568.0,118474388.0
197,94500476.0,118480976.0,94564848.0,118276568.0
198,94264028.0,118769848.0,94407560.0,118543920.0
199,94269844.0,118498080.0,94405948.0,118934772.0
200,94302580.0,118500700.0,94445720.0,118329792.0
201,95069564.0,118548484.0,94740168.0,119295340.0
202,95494468.0,118591992.0,94522960.0,119279024.0
203,94773448.0,118622304.0,94821444.0,118525036.0
204,94711976.0,118655452.0,94746792.0,118747228.0
205,94473164.0,118907476.0,95417408.0,118488824.0
206,94544732.0,118725636.0,95764808.0,118729872.0
207,94628580.0,119024056.0,94789004.0,118588552.0
208,94686168.0,118864116.0,94821476.0,118693800.0
209,94686156.0,118864656.0,94789100.0,118711396.0
210,94689364.0,119039192.0,94801332.0,118978288.0
211,94718212.0,118912800.0,94813424.0,118759392.0
212,94768728.0,119197036.0,94829636.0,118759016.0
213,94993140.0,119145748.0,95081668.0,118848388.0
214,94899644.0,119431872.0,95009348.0,118947532.0
215,94940552.0,119356044.0,95304556.0,119211284.0
216,95192444.0,119279928.0,95072040.0,118977736.0
217,94957500.0,119920064.0,95074484.0,119010128.0
218,95276096.0,119542084.0,95357712.0,119599456.0
219,95173100.0,119267440.0,95121060.0,119694996.0
220,95863740.0,119239560.0,95153524.0,120175312.0
221,95298720.0,119270944.0,95170184.0,119626116.0
222,95130540.0,119269584.0,95771636.0,119143356.0
223,95264844.0,119284692.0,95887468.0,119359800.0
224,95115068.0,119269380.0,96043112.0,119125300.0
225,95128428.0,119297612.0,95282744.0,119165364.0
226,95333556.0,119591396.0,95305148.0,119197988.0
227,95190656.0,119388456.0,95296340.0,119207948.0
228,95223348.0,119388360.0,95554828.0,119218160.0
229,95490016.0,119688360.0,95319404.0,119236476.0
230,95277484.0,119451108.0,95373040.0,119534688.0
231,95628476.0,119523616.0,95739708.0,119358236.0
232,95418772.0,119803036.0,95508892.0,119382552.0
233,95411648.0,119547260.0,95505372.0,119630516.0
234,95683120.0,119597500.0,95549976.0,119431820.0
235,95479500.0,119617448.0,95575396.0,119431380.0
236,95496904.0,119643464.0,95587080.0,119638968.0
237,95760448.0,119686904.0,95604324.0,119476708.0
238,95545160.0,120013748.0,95871464.0,119493108.0
239,95543920.0,120366708.0,95651624.0,119673012.0
240,95794212.0,120969892.0,95928428.0,119551312.0
241,96038980.0,119804564.0,96194364.0,119558704.0
242,96700808.0,119789496.0,96538916.0,120864924.0
243,96077376.0,120025776.0,96274744.0,120517204.0
244,95684228.0,119780112.0,95819044.0,119672760.0
245,95912840.0,119834952.0,95796108.0,119637224.0
246,95685704.0,119876216.0,96075588.0,119969624.0
247,95734732.0,119899460.0,95914012.0,119767448.0
248,95750484.0,119907896.0,95943308.0,119787792.0
249,95759936.0,119938640.0,96134844.0,120064312.0
250,95780648.0,119959440.0,95977112.0,119847272.0
251,95916024.0,120043024.0,96033480.0,119886360.0
252,95984336.0,120355396.0,96345864.0,120207660.0
253,96290024.0,120174712.0,96161228.0,119985328.0
254,96075620.0,120208588.0,96223032.0,120033592.0
255,96083780.0,120224600.0,96254356.0,120079336.0
256,96101480.0,120253320.0,96535044.0,120123652.0
257,96395592.0,120273300.0,96321880.0,120140356.0
258,96208948.0,120305484.0,96361516.0,120155556.0
259,96235724.0,120322264.0,96386692.0,120196456.0
260,96247308.0,120363276.0,96644772.0,120217500.0
261,96548088.0,121037352.0,96426148.0,121194696.0
262,96305276.0,121485328.0,96715132.0,121630060.0
263,96823912.0,120826320.0,96976016.0,120326624.0
264,97142516.0,120478224.0,97477740.0,120288624.0
265,96815992.0,120469204.0,96534684.0,120299928.0
266,97029688.0,120721360.0,98085096.0,120567296.0
267,96404920.0,120469576.0,96756728.0,120339624.0
268,96383248.0,120468764.0,96599812.0,120345704.0
269,96649368.0,120469000.0,96600048.0,120360384.0
270,96403764.0,120498296.0,96735868.0,120368824.0
271,96418904.0,120493952.0,96557552.0,120364276.0
272,96653044.0,120745048.0,96557620.0,120385660.0
273,96417300.0,120510636.0,96819968.0,120641232.0
274,96418616.0,120510972.0,96590740.0,120406744.0
275,96577080.0,120669472.0,96606668.0,120641812.0
276,96419020.0,120509584.0,96858584.0,120406176.0
277,96418544.0,120512192.0,96607084.0,120407260.0
278,96670236.0,120761680.0,96607132.0,120816104.0
279,96419372.0,120509604.0,96606528.0,120726152.0
280,96419380.0,120828836.0,96764600.0,120565552.0
281,96418972.0,121080996.0,96608224.0,120727744.0
282,96653380.0,121485524.0,96608804.0,120621516.0
283,96419556.0,120888992.0,96608140.0,120613452.0
284,96681036.0,120807744.0,96861980.0,120689624.0
285,96417888.0,120512212.0,96607040.0,120406976.0
286,96419084.0,120511088.0,96606016.0,120406364.0
287,96737336.0,120509800.0,96607560.0,120406516.0
288,96670684.0,120762124.0,96859716.0,120581248.0
289,97534760.0,120511352.0,97440580.0,120406336.0
290,97695548.0,120510504.0,97433500.0,120405256.0
291,96465872.0,120763280.0,96827216.0,120656704.0
292,96595308.0,120510820.0,96606092.0,120405276.0
293,96419676.0,120510636.0,96606952.0,120406152.0
294,96420048.0,120745620.0,96857420.0,120641196.0
295,96419740.0,120510140.0,96607048.0,120407580.0
296,96580388.0,120512096.0,96604940.0,120724904.0
297,96405984.0,120827708.0,96766956.0,121017548.0
298,96406340.0,120510696.0,96607980.0,121539904.0
299,96406784.0,120670340.0,96606320.0,121079804.0
300,96723192.0,120761452.0,96606880.0,120719040.0
301,96406456.0,120876468.0,96609480.0,120423160.0
302,96406316.0,121037272.0,96606756.0,120406448.0
303,96406900.0,120561412.0,96607268.0,120406900.0
304,96410672.0,120777716.0,96613284.0,120409500.0
305,96406172.0,120508808.0,96607356.0,120405700.0
306,96658056.0,120509304.0,96858920.0,120658588.0
307,97230196.0,120744308.0,97265708.0,120407776.0
308,97083924.0,120510896.0,96981844.0,120406620.0
309,96475420.0,120510200.0,96669652.0,120405812.0
310,96622508.0,120765924.0,96789940.0,120418004.0
311,96406780.0,120509972.0,96605688.0,120407244.0
312,96406220.0,120510620.0,96606772.0,120405288.0
313,96406748.0,120510456.0,96607412.0,120658908.0
314,96565524.0,120760136.0,96855948.0,120405916.0
315,96406708.0,120511444.0,96606656.0,120406224.0
316,96406684.0,120509412.0,96606372.0,121062688.0
317,96656528.0,120509800.0,96606072.0,121932840.0
318,96406920.0,120518556.0,96614736.0,120773576.0
319,96406852.0,120510648.0,96607244.0,120431376.0
320,96406296.0,120512724.0,96607232.0,120405712.0
321,96656848.0,121180444.0,96606728.0,120658192.0
322,96406960.0,120511148.0,96609944.0,120405376.0
323,96405444.0,121625008.0,96606328.0,120405076.0
324,97208216.0,120551592.0,96925236.0,120582024.0
325,96657308.0,120765708.0,96858856.0,120406320.0
326,97043756.0,120509920.0,97256976.0,120406292.0
327,97846708.0,120510020.0,97732136.0,120657844.0
328,97528676.0,120745424.0,97363724.0,120405636.0
329,96448484.0,120510000.0,96641436.0,120407056.0
330,96416880.0,120509460.0,96612584.0,120406648.0
331,96404408.0,120762160.0,96607304.0,120657464.0
332,96656048.0,120510660.0,96616468.0,120406960.0
333,96406180.0,120510644.0,96606940.0,120818084.0
334,96405552.0,120510832.0,96607072.0,120405704.0
335,96406064.0,120745400.0,96858932.0,120407892.0
336,96656164.0,120509296.0,96606476.0,120407972.0
337,96404740.0,120760220.0,96606860.0,121688780.0
338,96406816.0,120510156.0,96606420.0,121846252.0
339,96642336.0,120990068.0,96614592.0,120607072.0
340,96405852.0,121184112.0,96607024.0,120422272.0
341,96415048.0,120749424.0,96610492.0,120416368.0
342,96562472.0,120544240.0,97176824.0,120406032.0
343,96405628.0,120515440.0,96765704.0,120404620.0
344,96405892.0,120760792.0,97085844.0,120657288.0
345,96407040.0,120509476.0,97440448.0,120406976.0
346,96657816.0,120510244.0,98141124.0,120406780.0
347,97211556.0,120744924.0,96645632.0,120640876.0
348,97202992.0,120509456.0,96607648.0,120406292.0
349,97532044.0,120512432.0,96607544.0,120407068.0
350,97498020.0,120761900.0,96857948.0,120598468.0
351,97229344.0,120510776.0,96607752.0,120406712.0
352,96435876.0,120511024.0,96605356.0,120405956.0
353,96405704.0,120514572.0,96605892.0,120405964.0
354,96565020.0,120777308.0,96780676.0,120658588.0
355,96406824.0,120526952.0,96605492.0,120408880.0
356,96404808.0,121005340.0,96606628.0,120405916.0
357,96406768.0,120526268.0,96606260.0,120566076.0
358,96656996.0,121179268.0,96614964.0,121245956.0
359,96405284.0,121215160.0,96607080.0,120657116.0
360,96404416.0,120599156.0,96606628.0,120465696.0
361,96406508.0,120580180.0,96765496.0,120470924.0
362,96580860.0,120575684.0,96766984.0,120458980.0
363,96406800.0,120572124.0,97244700.0,120460076.0
364,96410256.0,120572180.0,97982304.0,120698944.0
365,96711968.0,120876388.0,97308072.0,120566616.0
366,96488220.0,120662444.0,96711812.0,120582856.0
367,96893156.0,120681952.0,96702044.0,120836396.0
368,97143836.0,120682560.0,96697028.0,120615588.0
369,97781344.0,120695132.0,96697772.0,120630720.0
370,97033736.0,120696100.0,96953868.0,120631960.0
371,96592600.0,120717328.0,96750748.0,120647096.0
372,96591844.0,120727452.0,96749488.0,120676912.0
373,96603512.0,120919976.0,97017004.0,121025896.0
374,96603120.0,120793332.0,96766968.0,121348176.0
375,96778072.0,121637540.0,96781756.0,121574120.0
376,96627800.0,121496476.0,96824432.0,120744128.0
377,96628204.0,121241752.0,96864856.0,120770380.0
378,96944748.0,121813064.0,96884796.0,120774676.0
379,96698152.0,120960936.0,97153440.0,120778580.0
380,96966416.0,121183484.0,96901504.0,120825076.0
381,96757920.0,120988332.0,96966752.0,121044872.0
382,96804460.0,121035616.0,97243320.0,120909576.0
383,97060608.0,121112924.0,97097592.0,120980608.0
384,96934808.0,121385716.0,97114504.0,121004152.0
385,97187088.0,121150384.0,97289192.0,121025328.0
386,97283600.0,121150056.0,98422292.0,121036668.0
387,97339136.0,121218948.0,98170968.0,121090084.0
388,97890528.0,121501224.0,97675356.0,121486484.0
389,97296508.0,121428624.0,97425792.0,121438580.0
390,97279128.0,121427536.0,97412516.0,122119448.0
391,97266584.0,121443200.0,97426388.0,122012088.0
392,97491744.0,121660148.0,97617624.0,121542556.0
393,97341472.0,121482356.0,97462620.0,121397792.0
394,97348036.0,121761908.0,97491848.0,121393112.0
395,97364316.0,121541932.0,97493048.0,121661636.0
396,97539896.0,121575864.0,97668068.0,121426332.0
397,97381192.0,121825840.0,97545744.0,121441928.0
398,97398032.0,122409736.0,97544044.0,121709412.0
399,97429052.0,122754928.0,97578212.0,121475096.0