commitcycle_latency,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,0,0,0,0,0,0,0,0,0,0,0.597276,0.581014,0.602808,0,0,0,0,0,0,0,0,0,0,0,1.14339,1.201382,0,0,1.425774,1.333509,0,0
239,0,0,0,0,0,0,0,0.489083,0,0,0,0,0,0.757212,0,0,0,0,0,0,0,0,0,0,0,0,0.606058,0,0,0,0,0
240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.744133,0.682382,0,0,0,0,1.06823,0.962222,0.938162,1.041865,0,0,0,0.737773,0,0,1.152146,1.165659
241,1.343168,1.356199,1.331961,1.314131,1.176852,1.216958,0.938686,0,1.321021,1.310331,0,0,0,0,0,0,1.195542,1.197267,0.688282,0.691937,0,0,0,0,0,0,0,0,0,0,0,0
242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,0,0,0,0,0,0,0,0,0,0,0.719238,0.698575,0.69316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,0,0,0,0,0,0,0,0,0,0,0,0,0,0.669212,0,0,0,0,0,0,0,0,0,0,1.211721,1.247861,0,0,1.351726,1.346587,0,0
245,0,0,0,0,0,0,0,0.670021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.183115,0,0,0.69906,0.540077,0,0,0,0
246,0,0,0,0,0,0,0.685243,0,0,0,0,0,0,0,0.743031,0.641078,0,0,0,0,1.141875,1.199348,1.190093,0,0,0,0,0,0,0,1.37308,1.297067
247,1.492595,1.410029,1.168242,1.078486,0,0,0,0,1.494933,1.49234,0,0,0,0,0,0,1.396819,1.374761,1.199538,1.598095,0,0,0,0,0,0,0,0,0,0,0,0
248,0,0,0,0,1.682808,1.67189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,0,0,0,0,0,0,0,0,0,0,0.824884,0.736434,0.717645,0.736905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,0,0,0,0,0,0,0,0.715352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.403617,1.346024,0.824552,0.861364,1.390516,1.264366,0,0
251,0,0,0,0,0,0,0.570757,0,0,0,0,0,0,0,0.743307,0.846031,0,0,0,0,0,0,0,1.36895,0,0,0,0,0,0,0,0
252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.339224,1.26622,1.368768,0,0,0,0,0,0,0,1.273513,1.316642
253,1.363406,1.38442,1.089802,1.106437,0,0,0,0,1.403361,1.454885,0,0,0,0,0,0,1.318464,1.265348,1.295032,1.325006,0,0,0,0,0,0,0,0,0,0,0,0
254,0,0,0,0,1.502288,1.531845,0,0,0,0,0,0.880502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,0,0,0,0,0,0,0,0.616276,0,0,0.900191,0,0.878788,0.82916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0504,0,0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.722681,0,0,0,0,0,0,0,0,0,1.45889,1.381031,1.267823,0.88767,0,1.159109,0,0
257,0,0,0,0,0,0,0.667066,0,0,0,0,0,0,0,0,0.695173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,0,0,0,1.139083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30571,1.303763,1.465027,1.440486,0,0,0,0,0,0,1.264147,0
259,1.173465,1.200681,1.130407,0,0,0,0,0,1.299245,1.304694,0,0,0,0,0,0,1.158161,1.140652,1.330702,1.296113,0,0,0,0,0,0,0,0,0,0,0,1.549294
260,0,0,0,0,1.127201,1.175654,0,0,0,0,0.708631,0.763812,0.658881,0.760399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,0,0,0,0,0,0,0,0.477517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.647462,0,0,1.171288,1.164784,0,0
262,0,0,0,0,0,0,0.519833,0,0,0,0,0,0,0,0.474779,0.628282,0,0,0,0,0,0,0,0,0.915056,0,1.024382,1.01495,0,0,0,0
263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,0,0,1.131768,1.237353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.513182,1.510398,1.625506,1.594395,0,0,0,0,0,0,1.371081,1.305939
265,1.164947,1.130705,0,0,0,0,0,0,0,0,0,0.705742,0.823815,0,0,0,0.973962,1.008403,1.248351,1.143393,0,0,0,0,0,0,0,0,0,0,0,0
266,0,0,0,0,1.32114,1.260572,0,0.592602,1.624039,1.557017,0.882464,0,0,0.843812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,0,0,0,0,0,0,0.513871,0,0,0,0,0,0,0,0.8562,0,0,0,0,0,0,0,0,0,0.786525,0.623151,0,0,0,0,0,0
268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70499,0,0,0,0,0,0,0,0,0,0,1.323965,1.318331,1.685747,1.645572,0,0
269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,0,0,1.239917,1.110045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.319726,1.337038,1.303808,1.282211,0,0,0,0,0,0,1.167088,1.120637
271,1.339447,1.336194,0,0,0,0,0,0.538519,0,1.164968,0.670008,0.696967,0.628503,0,0,0,1.528279,1.436766,1.244299,1.267527,0,0,0,0,0,0,0,0,0,0,0,0
272,0,0,0,0,1.372793,1.379601,0,0,1.206116,0,0,0,0,0.85553,0,0,0,0,0,0,0,0,0,0,0,0.729129,0,0,0,0,0,0
273,0,0,0,0,0,0,0.609254,0,0,0,0,0,0,0,0.737331,0.822483,0,0,0,0,0,0,0,0,0.804574,0,0,0,0,1.118604,0,0
274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.275095,1.296449,1.136272,0,0,0
275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,0,0,1.158596,1.205248,0,0,0,0,0,0,0,0.838787,0.601673,0,0,0,0,0,0,0,1.393635,1.382981,1.277993,1.308259,0,0,0,0,0,0,1.317715,1.324507
277,1.229528,1.202228,0,0,0,0,0,0.70713,1.171625,1.179154,0.758769,0,0,0.703939,0,0,1.248464,1.223158,0,1.517043,0,0,0,0,0,0.710441,0,0,0,0,0,0
278,0,0,0,0,1.333367,1.32133,0.6521,0,0,0,0,0,0,0,0.880452,0,0,0,1.523779,0,0,0,0,0,0.70666,0,0,0,0,0,0,0
279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.929872,0,0,0,0,0,0,0,0,0,0,0,0,1.305119,1.358354,0,0
280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.235663,1.239036,0,0,0,0
281,0,0,0,0,0,0,0,0,0,0,0,0.64406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,0,0,1.266334,1.18804,0,0,0,0.749513,0,0,0.709256,0,0.686112,0.600925,0,0,0,0,0,0,0,0,1.43927,1.429823,0,0,0,0,0,0,1.393368,1.381468
283,1.114352,1.162595,0,0,0,0,0.658598,0,0,0,0,0,0,0,0,0,1.171087,1.247999,1.246387,1.289027,1.372404,1.381406,0,0,0,0.8039,0,0,0,0,0,0
284,0,0,0,0,1.43019,1.437371,0,0,1.517458,1.503111,0,0,0,0,0.819438,0.912637,0,0,0,0,0,0,0,0,0.965528,0,0,0,0,0,0,0
285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.607794,1.580413,1.599122,1.563295,0,0
287,0,0,0,0,0,0,0,0.553251,0,0,0.662675,0.745646,0.590879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,0,0,0.943918,1.0117,0,0,0,0,0,0,0,0,0,0.900227,0,0,0,0,0,0,0,0,1.477096,1.410381,0,0.67757,0,0,0,0,0,0
289,1.263736,1.260703,0,0,0,0,0.597851,0,0,0,0,0,0,0,0.551634,0,1.470403,1.355314,1.100361,1.060257,1.704022,1.709981,0,0,0.80948,0,0,0,0,0,1.55775,1.696715
290,0,0,0,0,1.310652,1.209119,0,0,1.401199,1.487603,0,0,0,0,0,0.687952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,0,0,0,0,0,0,0,0,0,0,0,0.714512,0.592032,0,0,0,0,0,0,0,0,0,0,0,0,0,1.637337,1.637009,1.366837,1.320582,0,0
293,0,0,0.987854,0.937179,0,0,0,0.592545,0,0,0.735448,0,0,0.630128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,1.179479,0,0,0,0,0,0.633649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.351685,1.378309,0,0.559612,0,0,0,0,0,1.143212
295,0,1.171211,0,0,0,0,0,0,0,0,0,0,0,0,0.64115,0.670482,1.41682,1.520385,1.365261,1.236805,1.165025,1.317438,0,0,0.723837,0,0,0,0,0,1.279962,0
296,0,0,0,0,1.055378,1.170304,0,0,1.443457,1.39788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,0,0,0,0,0,0,0,0.636022,0,0,0.553237,0.622736,0.623258,0,0,0,0,0,0,0,0,0,0,0,0,0,1.342776,1.325372,1.302931,1.344029,0,0
299,0,0,0.91969,0.718548,0,0,0.541982,0,0,0,0,0,0,0.587852,0,0,0,0,0,0,0,0,0,0,0,0.548691,0,0,0,0,0,0
300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.796027,0,0,0,0,0,0.803472,0.871053,1.204273,1.186721,0.555025,0,0,0,0,0,0,0
301,1.358512,1.372657,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60675,1.525567,1.394438,1.286255,1.436923,0,0,0,0,0,0,0,0,0,0,1.705944,1.657871
302,0,0,0,0,1.400554,1.407596,0,0,1.610792,1.66087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,0,0,0,0,0,0,0,0.678141,0,0,0,0.659246,0.797343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,0,0,0,0.703252,0,0,0.501811,0,0,0,0.686952,0,0,0.722262,0,0,0,0,0,0,0,0,0,0,0,0.545256,1.21394,1.241613,1.217687,1.184371,0,0
305,0,0,0.97444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.531702,0,0,0,0,0,0,0
306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.777165,0.84633,0,0,0,0,0.659933,0.821426,1.183505,1.15224,0,0,0,0,0,0,0,0
307,1.38639,1.429703,0,0,1.176387,0,0,0,0,0,0,0,0,0,0,0,1.054527,1.181894,1.340814,1.390865,0,0,0,0,0,0,0,0,0,0,1.379021,1.361248
308,0,0,0,0,0,1.177354,0,0,1.50258,1.481279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,0,0,0,0.757926,0,0,0,0.636954,0,0,0.75195,1.111905,0.613401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,0,0,0.643892,0,0,0,0.606064,0,0,0,0,0,0,0.605487,0,0,0,0,0,0,0,0,0,0,0.565689,0.749675,1.420624,1.412114,1.300144,1.419351,0,0
311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.785319,0,0,0,0,0,0.794137,0.802462,0,0,0,0,0,0,0,0,0,0
312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.734073,0,0,0,0,0,0,1.186139,1.234063,0,0,0,0,0,0,0,0
313,1.251472,1.309821,0,0,1.211814,0,0,0,0,0,0,0,0,0,0,0,1.324415,1.3288,1.260563,1.222117,0,0,0,0,0,0,0,0,0,0,1.313608,1.300754
314,0,0,0,0,0,1.236578,0,0.68284,1.260569,1.279222,0,0,0.978779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,0,0,0,0.767939,0,0,0.538803,0,0,0,1.124114,1.088951,0,0.686884,0,0,0,0,0,0,0,0,0,0,0,0.544851,0,0,0.576008,0.846284,0,0
316,0,0,0.822212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.610669,0,0,0,0.595178,0,1.141725,1.19545,0,0,0,0
317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.034641,0.937848,0,0,0,0,0,0.59863,0,0,0,0,0,0,0,0,0,0
318,0.659925,0.916319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.199845,0,0,0,0,1.233447,1.237642,0,0,0,0,0,0,0,0
319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.281731,0,1.416723,1.337528,0,0,0,0,0,0,0,0,0,0,1.538122,1.531744
320,0,0,0,0,1.414145,1.468938,0.724332,0.810286,1.348834,1.212701,0,0,0.758277,0,0,0,0,0,0,0,0,0,0,0,0,0.426433,0,0,0.660148,0,0,0
321,0,0,0.786459,1.253288,0,0,0,0,0,0,1.395026,1.385703,0,0.844963,0,0,0,0,0,0,0,0,0,0,0.671354,0,0,0,0,0.66117,0,0
322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69942,0.78343,0,0,0,0,1.190793,1.248209,0,0,0,0
323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707801,0.956861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,0.820965,0.755717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.316741,1.283356,0,0,0,0,0,0,0,0
325,0,0,0,0,0,0,0,0.745091,0,0,0,0,0.563765,0,0,0,1.303644,1.329196,1.341074,1.457291,0,0,0,0,0,0,0,0,0,0,1.338215,1.320805
326,0,0,0,0,1.481081,1.407093,0.80054,0,0.951295,1.053038,0.601399,0,0,0.884136,0,0,0,0,0,0,0,0,0,0,0,0.719468,0,0,0.588309,0.673299,0,0
327,0,0,1.15937,1.119426,0,0,0,0,0,0,0,0.958316,0,0,0,0,0,0,0,0,0.621296,0.530282,0,0,0.559776,0,0,0,0,0,0,0
328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.809714,0,0,0,0,0,0,0,0,0,0,0,1.318128,1.256774,0,0,0,0
329,0.577995,0.645094,0,0,0,0,0,0,0,0,0,0,0,0,0,0.671451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,0,0,0,0,0,0,0,0.673084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.297447,1.306951,0,0,0,0,0,0,0,0
331,0,0,0,0,0,0,0.530824,0,0,0,0,0,0.6465,0,0,0,1.3848,1.389041,1.235367,1.251714,0,0,0,0,0,0.59672,0,0,0.717393,0.598681,1.461926,1.45625
332,0,0,1.035028,1.10392,1.160737,1.180897,0,0,1.200367,1.236295,0.71859,0.691334,0,0.96425,0,0,0,0,0,0,0.530971,0,0,0,0.48095,0,0,0,0,0,0,0
333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5167,0,0,0,0,0,0,0,0,0,0
334,0.689218,0,0,0,0,0,0,0,0,0,0,0,0,0,1.198113,0.742943,0,0,0,0,0,0,0,0,0,0,1.435715,1.447039,0,0,0,0
335,0,0.754732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,0,0,0,0,0,0,0,1.034234,0,0,0,0,0.6615,0,0,0,1.13886,1.184683,0,0,0,0,1.482271,1.527091,0,0.545262,0,0,0.559757,0,0,0
337,0,0,0,0,1.049045,1.090761,0.962781,0,0,0,0.65299,0,0,0.463837,0,0,0,0,1.265466,1.240438,0,0,0,0,0.556063,0,0,0,0,0.557692,0,0
338,0,0,0,0,0,0,0,0,1.213682,1.180669,0,0.476189,0,0,0,0,0,0,0,0,0.657791,0.60091,0,0,0,0,0,0,0,0,1.685724,1.703485
339,0.289853,0,1.300655,1.280058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,0,0.748484,0,0,0,0,0,0,0,0,0,0,0,0,1.235257,1.227763,0,0,0,0,0,0,0,0,0,0,0.949884,0.892208,0,0,0,0
341,0,0,0,0,0,0,0,0.431128,0,0,0,0,0.544985,0,0,0,0,0,0,0,0,0,0.797813,0.418888,0,0.592309,0,0,0,0,0,0
342,0,0,0,0,0,0,0.700106,0,0,0,0,0,0,0.295097,0,0,1.12901,1.125508,0,0.727544,0,0,0,0,0.37509,0,0,0,0.755335,0.645522,0,0
343,0,0,0,0,0.749803,0.758875,0,0,0,0,0.48579,0.693875,0,0,0,0,0,0,0.815814,0,0.750934,0.491352,0,0,0,0,0,0,0,0,0.819167,0.827624
344,0.491481,0,0.320469,0.808954,0,0,0,0,0.80564,0.892213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,0,0.305635,0,0,0,0,0,0,0,0,0,0,0,0,0.362338,0.70723,0,0,0,0,0,0,0,0,0,0,0.539445,0.365766,0,0,0,0
346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.287103,0,0,0,0,0,0,0,0
347,0,0,0,0,0,0,0,0.305258,0,0,0,0,0.441617,0.297673,0,0,0,0,0,0,0,0,0.470633,0,0.496274,0.313064,0,0,0.770498,0,0,0
348,0,0,0,0,0,0,0.42359,0,0,0,0.504077,0.532831,0,0,0,0,0.963868,1.016041,0.82444,0.963184,0,0,0,0,0,0,0,0,0,0.847252,0,0
349,0,0,0.704582,0,0.973874,0.926296,0,0,0.887444,0.878567,0,0,0,0,0,0,0,0,0,0,0.836292,0.84249,0,0,0,0,0,0,0,0,1.12275,1.02818
350,0.605389,0,0,0.862215,0,0,0,0,0,0,0,0,0,0,0.322553,0,0,0,0,0,0,0,0,0,0,0,0,0.855647,0,0,0,0
351,0,0.417303,0,0,0,0,0,0,0,0,0,0,0,0,0,0.711496,0,0,0,0,0,0,0,0.411175,0,0,1.020946,0,0,0,0,0
352,0,0,0,0,0,0,0,0.401656,0,0,0,0,0.551269,0.440358,0,0,0,0,0,0,0,0,0.905714,0,0,0.613617,0,0,0,0,0,0
353,0,0,0,0,0,0,0.820506,0,0,0,0.764582,0,0,0,0,0,0,0,0,0,0,0,0,0,0.636782,0,0,0,0.633943,0.563673,0,0
354,0,0,0,0,0,0,0,0,0,0,0,0.620049,0,0,0,0,0.917915,0.902757,0.933188,0.979183,0,0,0,0,0,0,0,0,0,0,0,0
355,0.570344,0,0.464198,0.521491,1.045887,1.113672,0,0,1.163953,1.139523,0,0,0,0,0.46483,0,0,0,0,0,0.931081,0.989106,0,0,0,0,0,0,0,0,1.297286,1.327453
356,0,0.470253,0,0,0,0,0,0,0,0,0,0,0,0,0,0.605708,0,0,0,0,0,0,0,0,0,0,0.532257,0.467984,0,0,0,0
357,0,0,0,0,0,0,0,0.562127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.480165,0,0.584605,0,0,0,0,0,0
358,0,0,0,0,0,0,0.495147,0,0,0,0.535432,0,1.686219,1.21577,0,0,0,0,0,0,0,0,0.703236,0,0.426465,0,0,0,0.426791,0.45647,0,0
