numpg,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
0,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
1,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
2,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
3,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
4,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
5,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
6,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
7,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
8,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
9,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
10,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
11,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
12,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
13,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
14,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
15,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
16,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
17,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
18,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
19,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
20,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
21,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
22,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
23,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
24,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
25,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
26,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
27,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
28,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
29,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
30,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
31,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
32,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
33,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
34,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
35,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
36,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
37,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
38,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
39,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
40,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
41,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
42,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
43,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
44,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
45,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
46,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
47,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
48,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
49,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
50,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
51,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
52,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
53,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
54,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
55,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
56,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
57,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
58,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
59,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
60,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
61,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
62,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
63,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
64,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
65,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
66,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
67,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
68,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
69,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
70,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
71,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
72,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
73,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
74,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
75,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
76,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
77,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
78,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
79,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
80,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
81,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
82,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
83,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
84,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
85,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
86,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
87,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
88,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
89,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
90,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
91,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
92,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
93,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
94,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
95,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
96,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
97,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
98,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
99,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
100,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
101,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
102,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
103,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
104,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
105,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
106,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
107,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
108,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
109,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
110,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
111,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
112,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
113,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
114,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
115,2990,3092,3097,3016,2987,3095,3038,3142,3063,3075,3074,3058,3051,3159,3088,2998,3113,2991,3067,3095,3060,3128,3079,3092,2991,3101,3041,3143,3075,3045,3142,3118
