op_r_out_bytes,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
0,128,32,16,0,0,0,0,0,134,114,0,0,0,0,32,32,268,3124,268,134,76,32,316,140,134,70,64,38,64,70,248,300
1,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
2,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
3,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
4,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
5,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
6,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
7,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
8,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
9,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
10,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
11,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
12,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
13,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
14,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
15,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
16,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
17,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
18,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
19,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
20,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
21,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
22,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
23,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
24,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
25,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
26,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
27,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
28,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
29,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
30,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
31,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
32,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
33,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
34,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
35,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
36,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
37,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
38,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
39,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
40,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
41,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
42,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
43,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
44,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
45,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
46,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
47,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
48,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
49,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
50,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
51,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
52,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
53,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
54,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
55,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
56,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
57,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
58,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
59,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
60,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
61,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
62,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
63,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
64,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
65,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
66,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
67,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
68,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
69,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
70,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
71,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
72,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
73,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
74,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
75,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
76,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
77,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
78,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
79,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
80,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
81,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
82,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
83,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
84,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
85,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
86,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
87,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
88,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
89,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
90,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
91,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
92,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
93,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
94,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
95,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
96,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
97,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
98,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
99,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
100,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
101,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
102,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
103,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
104,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
105,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
106,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
107,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
108,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
109,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
110,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
111,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
112,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
113,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
114,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
115,1048,792,1200,1328,128,536,1200,1072,1992,2144,664,128,664,920,256,1200,1072,3948,1072,920,1200,128,1328,1328,920,664,792,536,1328,664,2528,1200
